Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,East Midlands - North - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Andrew Ralph :  Cavendish Dental Care: Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8300   [Derbyshire Scheme]",,,Derbyshire Scheme,4.1,10,https://maps.google.com/?cid=4293937442003421708,http://www.cavendishdentalcare.co.uk/,2 hours 24 mins
X,East Midlands - North - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Suhael Zaro :  Genesis Dental Care: South Normanton, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8302   [Derbyshire Scheme]",,,Derbyshire Scheme,4.3,7,https://maps.google.com/?cid=17127761864725166544,https://www.genesisdentalcare.com/about-us/find-a-practice/south-normanton/,2 hours 59 mins
X,East Midlands - North - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Rami Khatib :  Glumangate Dental Practice: Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8293   [Derbyshire Scheme]",,,Derbyshire Scheme,4.7,35,https://maps.google.com/?cid=18305297735500947528,http://www.glumangatedental.co.uk/,2 hours 23 mins
X,East Midlands - North - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Trishan Malhi, Harpreet Saduera:  Cavendish Dental Practice: Cavendish, Derby, Derbyshire. https://heeoe.hee.nhs.uk/node/8294   [Derbyshire Scheme]",,,Derbyshire Scheme,4.8,308,https://maps.google.com/?cid=385546077466128668,http://www.cavendishdentalderby.co.uk/,2 hours 17 mins
X,East Midlands - North - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Ishaaq Mirza :  Coach House Dental Practice: Matlock, Derbyshire. https://heeoe.hee.nhs.uk/node/8296   [Derbyshire Scheme]",,,Derbyshire Scheme,4.7,7,https://maps.google.com/?cid=11917877390667851220,https://www.thecoachhousedental.co.uk/,3 hours 8 mins
X,East Midlands - North - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Collins Atalor :  Market Place Family Dental Centre: Mansfield, Nottinghamshire. https://heeoe.hee.nhs.uk/node/8433   [Derbyshire Scheme]",,,Derbyshire Scheme,2.4,128,https://maps.google.com/?cid=13366400440098020762,https://marketplacefamilydental.co.uk/,3 hours 13 mins
X,East Midlands - North - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Faiz Khan :  Somercotes Family Dental Centre: Somercotes, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8434   [Derbyshire Scheme]",,,Derbyshire Scheme,3.5,37,https://maps.google.com/?cid=6088720599429996182,http://somercotesdental.co.uk/,3 hours 19 mins
X,East Midlands - North - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Georgia Karamitrou :  High Street Dental Clinic: Staveley, Chesterfield, Derbyshire. https://heeoe.hee.nhs.uk/node/8435   [Derbyshire Scheme]",,,Derbyshire Scheme,4.4,14,https://maps.google.com/?cid=11130460507132391183,http://www.highstreetdentalstaveley.co.uk/,2 hours 35 mins
X,East Midlands - North - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Aneta  Mioduszewska :  Charming Smiles Dental Practice: Alvaston, Derbyshire. https://heeoe.hee.nhs.uk/node/8295   [Derbyshire Scheme]",,,Derbyshire Scheme,4.4,29,https://maps.google.com/?cid=1719436514241323796,https://charmingsmiles.co.uk/,2 hours 16 mins
X,East Midlands - North - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England East Midlands,Health Education England East Midlands - North,-,,0,"Nadia Duarte :  Amber Valley Dental Practice: Swanwick, Alfreton, Derbyshire. https://heeoe.hee.nhs.uk/node/8341   [Derbyshire Scheme]",,,Derbyshire Scheme,3.8,18,https://maps.google.com/?cid=1145091737257417586,http://www.ambervalleydental.co.uk/,2 hours 42 mins
