Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Abhay Shah, Manish Patel:  Watford Dental Practice: Watford, Hertfordshire. https://heeoe.hee.nhs.uk/node/8356",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Ronak Pandhi, Paul Jackson:  Amwell Street Dental Practice: Hoddesdon, Hertfordshire. https://heeoe.hee.nhs.uk/node/8348",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Sabina Wadhwani, Mr Victor Gehani:  Shephall Dental Surgery: Stevenage, Hertfordshire. https://heeoe.hee.nhs.uk/node/8347",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Kalpana Patel, :  Chrysalis Dental Practice: Watford, Hertfordshire. https://heeoe.hee.nhs.uk/node/8352",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Samir  Shah, Ashika Shah:  Poynters Road Dental Practice: Dunstable, Bedfordshire. https://heeoe.hee.nhs.uk/node/8357",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Manish Patel, Mr Abhay Shah:  Dunstable Dental Practice: Dunstable, Bedfordshire. https://heeoe.hee.nhs.uk/node/8353",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Daniele  Montagliani, :  Kimbolton Dental Practice: Bedford, Bedfordshire. https://heeoe.hee.nhs.uk/node/8358",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Helen  Kefford, Heidi Cheung:  Sandy Dental Care: Sandy, Bedfordshire. https://heeoe.hee.nhs.uk/node/8349",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 5,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Heidi Cheung, Helen Kefford:  Sandy Dental Care: Sandy, Bedfordshire. https://heeoe.hee.nhs.uk/node/8346",,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 6,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Jayen Patel, Puja Patel:  Birchwood Dental: Hatfield, Hertfordshire. https://heeoe.hee.nhs.uk/node/8351",,,
