Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
Bedford and Luton,,,,,,,,,,,,,,,,,,
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Abhay Shah, Manish Patel:  Watford Dental Practice: Watford, Hertfordshire. https://heeoe.hee.nhs.uk/node/8356",,,,4,122,https://maps.google.com/?cid=5903150956353917398,https://www.watford-dental.com/,1 hour 1 min
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Ronak Pandhi, Paul Jackson:  Amwell Street Dental Practice: Hoddesdon, Hertfordshire. https://heeoe.hee.nhs.uk/node/8348",,,,4.9,29,https://maps.google.com/?cid=9508394065814541421,,1 hour 12 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Sabina Wadhwani, Mr Victor Gehani:  Shephall Dental Surgery: Stevenage, Hertfordshire. https://heeoe.hee.nhs.uk/node/8347",,,,4.2,26,https://maps.google.com/?cid=12929691875768012634,,1 hour 6 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Kalpana Patel, :  Chrysalis Dental Practice: Watford, Hertfordshire. https://heeoe.hee.nhs.uk/node/8352",,,,4.7,127,https://maps.google.com/?cid=17654177689120838625,http://www.chrysalisdentalpractice.co.uk/watford/,1 hour 5 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Samir  Shah, Ashika Shah:  Poynters Road Dental Practice: Dunstable, Bedfordshire. https://heeoe.hee.nhs.uk/node/8357",,,,4.8,196,https://maps.google.com/?cid=12105070373773316451,http://www.poyntersdentalpractice.co.uk/,1 hour 31 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Manish Patel, Mr Abhay Shah:  Dunstable Dental Practice: Dunstable, Bedfordshire. https://heeoe.hee.nhs.uk/node/8353",,,,3.9,40,https://maps.google.com/?cid=3403239168058987944,https://www.dunstable-dental.com/,1 hour 40 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Daniele  Montagliani, :  Kimbolton Dental Practice: Bedford, Bedfordshire. https://heeoe.hee.nhs.uk/node/8358",,,,4.2,26,https://maps.google.com/?cid=2386399815951238883,http://www.kimboltondentalpractice.co.uk/,1 hour 19 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Helen  Kefford, Heidi Cheung:  Sandy Dental Care: Sandy, Bedfordshire. https://heeoe.hee.nhs.uk/node/8349",,,,4.6,14,https://maps.google.com/?cid=3072739215871833175,http://sandy-dentalcare.uk/,1 hour 10 mins
X,East of England - Bedford and Luton (ELFT) - DFT - Sep - 5,01/09/2021 00:00,12,DFT,Health Education England East of England,Health Education England East of England - Bedford and Luton (ELFT),-,,0,"Heidi Cheung, Helen Kefford:  Sandy Dental Care: Sandy, Bedfordshire. https://heeoe.hee.nhs.uk/node/8346",,,,4.6,14,https://maps.google.com/?cid=3072739215871833175,http://sandy-dentalcare.uk/,1 hour 10 mins
