Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 1",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Orchard House Dental Practice, 6 King's Road, Headcorn, TN27 9QU",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 10",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"AA Tikare & Associates, 14 Wrotham Road, Gravesend, DA11 0PA",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 11",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"High Street Medical Dental, 76-78 High Street, Gillingham, ME7 1AY",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 12",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Park road Dental, 13 Park Road, Sittingbourne, ME101DR",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 13",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"McKenzies Dental Surgery, Old Coffee House, London Road, Sevenoaks, TN13 1AH",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 14",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Premier Dental Care, 93 High Street, Chatham, Kent, ME4 4DL",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 15",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Eastgate Dental Practice, 1-4 Eastgate Court, High Street, Rochester, ME1 1EU",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 16",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"160 Main Road, Sutton At Hone, Dartford , Kent, DA4 9HP",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 17",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Wyndcott Dental Centre, Birchwood Park Avenue, Swanley, BR8 7AT",,,KSS
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 18",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Thorndike Dental Care, 374 High Street, Rochester, ME1 1DJ",,,KSS
