Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 1",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Orchard House Dental Practice, 6 King's Road, Headcorn, TN27 9QU",,,KSS,3.7,12,https://maps.google.com/?cid=18201378572467971066,http://www.ohdental.co.uk/,1 hour 30 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 10",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"AA Tikare & Associates, 14 Wrotham Road, Gravesend, DA11 0PA",,,KSS,5,10,https://maps.google.com/?cid=15853608859872996985,http://aatikare.com/index.php,42 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 11",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"High Street Medical Dental, 76-78 High Street, Gillingham, ME7 1AY",,,KSS,4.5,32,https://maps.google.com/?cid=16132762315436964113,http://www.highstreetmedicaldental.co.uk/,1 hour 7 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 12",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Park road Dental, 13 Park Road, Sittingbourne, ME101DR",,,KSS,3.7,15,https://maps.google.com/?cid=1825193810486656981,http://13parkroaddentist.co.uk/,1 hour 18 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 13",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"McKenzies Dental Surgery, Old Coffee House, London Road, Sevenoaks, TN13 1AH",,,KSS,4.8,84,https://maps.google.com/?cid=11012253691995851436,http://www.mckd.co.uk/,1 hour 4 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 14",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Premier Dental Care, 93 High Street, Chatham, Kent, ME4 4DL",,,KSS,4.9,185,https://maps.google.com/?cid=10005848580628065697,http://www.premierdentalcarechatham.co.uk/,1 hour 4 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 15",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Eastgate Dental Practice, 1-4 Eastgate Court, High Street, Rochester, ME1 1EU",,,KSS,4.9,14,https://maps.google.com/?cid=11352654549993021245,https://eastgatedental.co.uk/?utm_source=local&utm_medium=organic&utm_content=gmb,1 hour 0 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 16",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"160 Main Road, Sutton At Hone, Dartford , Kent, DA4 9HP",,,KSS,4.9,143,https://maps.google.com/?cid=13000455036817546263,http://www.kreatedental.co.uk/,1 hour 10 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 17",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Wyndcott Dental Centre, Birchwood Park Avenue, Swanley, BR8 7AT",,,KSS,4.5,41,https://maps.google.com/?cid=16802264857972252859,https://www.wyndcottdental.co.uk/,1 hour 3 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 18",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Thorndike Dental Care, 374 High Street, Rochester, ME1 1DJ",,,KSS,4.8,143,https://maps.google.com/?cid=7980750922761089742,http://thorndent.co.uk/,1 hour 6 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 2",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Franklin House Dental Practice, 15 Franklin Road, Gillingham, ME7 4DF",,,KSS,4.8,75,https://maps.google.com/?cid=15854077247184607889,http://www.gillinghamdentists.com/,1 hour 4 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 3",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Lavender Close Dental Practice, 1 Lavender Close, King George Road, Chatham, ME5 0PU",,,KSS,5,2,https://maps.google.com/?cid=5174047718629459701,,1 hour 37 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 4",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Nelson Road Dental Practice, 193 Nelson Road, Gillingham, ME7 4NB",,,KSS,4.8,191,https://maps.google.com/?cid=16603145207150324707,http://www.nelsonroaddental.co.uk/,1 hour 15 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 5",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,Watling Street Dental Care 56 Watling Street Gillingham Kent,,,KSS,3.9,15,https://maps.google.com/?cid=16973180380591311938,https://www.watlingstreetdental.co.uk/,1 hour 29 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 6",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Chopra & Associates, Sutton House, 5 London Road, Sittingbourne, ME10 1NQ",,,KSS,2.5,28,https://maps.google.com/?cid=13697485125195541884,http://www.chopradental.com/,1 hour 30 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 7",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Bute House Dental Surgery, 30 Victoria Road, Deal, CT14 7BH",,,KSS,3.2,15,https://maps.google.com/?cid=17948676257510534100,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=26705,2 hours 14 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 8",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"Luton Arches Dental, 425 High Street, Chatham, ME4 4NU",,,KSS,3.9,37,https://maps.google.com/?cid=17424183048018206568,https://www.lutonarchesdental.co.uk/,1 hour 10 mins
X,"Kent, Surrey and Sussex - Kent - DFT - Sep - 9",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent",-,,0,"A1 Dental, 52 London Road,canterbury, CT28LF",,,KSS,4.5,39,https://maps.google.com/?cid=1652964353871580672,https://a1dentalsurgery.co.uk/,1 hour 20 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 19",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Gatehouse Dental Practice, 128 Station Road, Addlestone, KT15 2BQ",,,KSS,3.7,13,https://maps.google.com/?cid=13038200518701620715,http://www.gatehousedental.com/,1 hour 9 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 20",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Bewbush Dental Surgery, 3 Goodwin Close, Bewbush, Crawley, RH11 8XU",,,KSS,4.8,119,https://maps.google.com/?cid=8175742825463803826,https://www.bewbushdental.co.uk/,1 hour 21 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 21",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Middle Gordon Road Practice, 46 Middle Gordon Road, Camberley, GU15 2HT",,,KSS,5,1,https://maps.google.com/?cid=1633910939275086901,http://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=22080,1 hour 42 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 22",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Crabtree Dental Practice, 25 Crabtree Road, Crawley, RH11 7HL",,,KSS,5,40,https://maps.google.com/?cid=11908767307395353742,http://www.crabtreecare.co.uk/,1 hour 27 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 23",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Crabtree Dental Practice, 25 Crabtree Road, Crawley, RH11 7HL",,,KSS,5,40,https://maps.google.com/?cid=11908767307395353742,http://www.crabtreecare.co.uk/,1 hour 27 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 24",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"The Corner House Dental Practice, 5 The Causeway, Horsham, RH12 1HE",,,KSS,4.9,460,https://maps.google.com/?cid=18193510364066989888,https://www.thecornerhousedentalpractice.com/,1 hour 23 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 25",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Brightsmile Dental Care, 19 Shelvers Hill	, Tadworth, KT20 5PU",,,KSS,4.4,16,https://maps.google.com/?cid=10037407878961986270,https://www.smile-care.co.uk/,1 hour 33 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 26",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Caterham Dental Care, 23 Essendene Road, Caterham, CR3 5PB",,,KSS,4.4,9,https://maps.google.com/?cid=7104696302846612529,https://caterhamdentalcare.co.uk/,1 hour 29 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 27",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"This post will be split across practice and community Practice details: Special Care Dental Service Haywards Heath Health Centre, Heath Road, RH16 3BB",,,KSS,3.9,8,https://maps.google.com/?cid=15578675343644460130,,1 hour 14 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 28",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Fairlands Dental Centre, Fairlands Avenue, Guildford, GU3 3NA",,,KSS,4.1,38,https://maps.google.com/?cid=12204157104430032290,http://www.fairlandsdental.co.uk/,1 hour 36 mins
X,"Kent, Surrey and Sussex - Surrey - DFT - Sep - 29",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey",-,,0,"Bourne Hall Dental Practice, 1st Floor, Bourne Hall Dental Centre, Chessington Road, Ewell, KT17 1TG",,,KSS,3.6,20,https://maps.google.com/?cid=1534353032797672394,http://www.bournehalldentist.com/,55 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 30",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,Dentalessence 69 Station Road Burgess Hill RH15 9DY,,,KSS,4.9,281,https://maps.google.com/?cid=7344285801061627693,http://www.dentalessence.co.uk/,1 hour 16 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 31",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,37 Wilton Road Bexhill on Sea,,,KSS,4.8,58,https://maps.google.com/?cid=2505344171727826480,http://www.searoaddental.com/,2 hours 3 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 32",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,"This post will be split across practice and community. Practice Details: North Challey Dental Care, The Surgery station road, Lewes, BN84HD",,,KSS,4.9,9,https://maps.google.com/?cid=158647598762001466,http://www.dentistryforyou.co.uk/,1 hour 41 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 33",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,"North Challey Dental Care, The Surgery station road, Lewes, BN84HD",,,KSS,4.9,9,https://maps.google.com/?cid=158647598762001466,http://www.dentistryforyou.co.uk/,1 hour 41 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 34",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,Harrow Lane Dental Practice204 Harrow LaneSt. Leonard's-on-SeaTN37 7JZ,,,KSS,4.9,131,https://maps.google.com/?cid=3998455750341375607,https://www.harrowlanedental.co.uk/,2 hours 31 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 35",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,"Battle Road Dental Practice120 Battle Road	St. Leonard's-on-SeaTN37 7AN",,,KSS,4.9,375,https://maps.google.com/?cid=1245299324215676575,http://www.southcliffdentalgroup.com/,2 hours 17 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 36",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,"Eastbourne Dental Clinic2, Terminus Building, Upperton Road	EastbourneBN21 1BA",,,KSS,4.1,24,https://maps.google.com/?cid=1378586535369901335,http://dentistryforyou.co.uk/,1 hour 52 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 37",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,"Toad Hall Dental Surgery	1 Upper Glen Road	St. Leonard's-on-Sea TN37 7AX",,,KSS,4,4,https://maps.google.com/?cid=6409729467436011099,http://www.nhs.uk/,2 hours 16 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 38",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,Billingshurst Dental Practice 114 High Street Billingshurst RH14 9QS,,,KSS,5,10,https://maps.google.com/?cid=4457588116150511397,http://www.billingshurstdental.co.uk/,1 hour 41 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 39",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,Quality Dental Care 56 Mill Road Worthing BN11 5DT,,,KSS,4.8,242,https://maps.google.com/?cid=17226935028474218016,http://www.qualitydentalgroup.co.uk/worthing/location,1 hour 56 mins
X,"Kent, Surrey and Sussex - Sussex - DFT - Sep - 40",01/09/2021 00:00,12,DFT,"Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Sussex",-,,0,Southwater Dental PracticeStation Road HorshamRH13 9HQ,,,KSS,4.3,16,https://maps.google.com/?cid=11617474188893763874,http://www.southwaterdental.com/,1 hour 47 mins
