Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,London - DFT - Sep - 129,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Lasalle Dental. 415 Hertford Road, Enfield, EN3 5PT and Brecknock Dental,37 Brecknock Rd, N7 0BT. This post is across two sites/practices",,,2 sites
X,London - DFT - Sep - 130,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"172 long elms, Harrow Weald, HA3 5JZ & 21 Silicon Centre, 26-28 Wadsworth Road, Perivale, UB6 7JZ. this post is across 2 sites/practices.",,,2 sites
X,London - DFT - Sep - 131,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Haydons Road Dental Practice, 120 Haydons Road, Wimbledon, SW19 1AW and TW13 Dental, 160A Twickenham Road, Hanworth, TW13 6HD. This post is across two",,,2 sites
X,London - DFT - Sep - 77,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Clapton Dental Surgery, 83 Chatsworth Road, Clapton, E5 0LH",,,Central London
X,London - DFT - Sep - 78,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"The Hoe Street Dental Practice, 337 Hoe Street, Walthamstow, E17 9BD",,,Central London
X,London - DFT - Sep - 79,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Beaufort Dental 10 Boulevard Drive, Colindale NW95QF",,,Central London
X,London - DFT - Sep - 80,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Salmon Lane Dental Care, 126 Salmon Lane, Limehouse, E14 7PQ",,,Central London
X,London - DFT - Sep - 81,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Dental Surgery Neasden Dental Clinic, 1 Dollis Hill Lane, Neasden, NW2 6JH",,,Central London
X,London - DFT - Sep - 82,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Harrow Road Dental Surgery, 349 Harrow Road, Maida Vale, W9 3RA",,,Central London
X,London - DFT - Sep - 84,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Tooth & Mouth LTD, 355 North End Road, Fulham, SW6 1NW",,,Central London
X,London - DFT - Sep - 85,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Clocktower dental surgery, 1b wendover road, Harlesden, NW104RX",,,Central London
X,London - DFT - Sep - 86,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Bayswater Dental Surgery , 129 Queensway, Bayswater, London W2 4SJ",,,Central London
X,London - DFT - Sep - 88,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Chiswick Dental Care, 8 Chiswick Terrace, Acton Lane, London, W4 5LY",,,Central London
X,London - DFT - Sep - 89,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Forest Dental Care, 73 Hoe Street, Walthamstow, E17 4SA",,,Central London
X,London - DFT - Sep - 90,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Cricklewood Dental Practice,  165 Cricklewood Broadway, Cricklewood, NW2 3HY",,,Central London
X,London - DFT - Sep - 100,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"The Ilford Dental Centre, 131 Ley Street, Ilford, IG1 4BH",,,North London
X,London - DFT - Sep - 101,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Smile Dental Clinic, 271 Aldborough Road, South Newbury Park, IG3 8JB",,,North London
X,London - DFT - Sep - 102,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Vitality Dental Practice, 111 Philip Lane, Seven Sisters, N15 4JR",,,North London
X,London - DFT - Sep - 103,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Alexandra Park Dental Practice	263 Victoria Road	Wood Green	N22 7XH",,,North London
X,London - DFT - Sep - 104,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Burnt Oak Dental Practice, 213 Burnt Oak Broadway, Edgware, HA85EG",,,North London
X,London - DFT - Sep - 105,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Broadway Dental Centre, 1 Compton Road, Winchmore Hill, N21 3PA",,,North London
X,London - DFT - Sep - 106,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,Southgate Smiles. 5 the Broadway Southgate London. N14 6PH,,,North London
X,London - DFT - Sep - 107,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Small Dental, 66 Edgwarebury Lane, Edgware, HA8 8LX",,,North London
X,London - DFT - Sep - 108,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,Church End Dental Clinic 313 Regents Park Road Finchley N3 1DP,,,North London
X,London - DFT - Sep - 109,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,Kindandental 99 Newington Green RoadCanonburyN1 4QY,,,North London
X,London - DFT - Sep - 110,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,My Dental Care 141 Myddleton Road Wood Green N22 8NG,,,North London
X,London - DFT - Sep - 111,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Dental Practice, Maldent Dental Practice, 34 Malden Road, NW5 3HH",,,North London
X,London - DFT - Sep - 112,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Brecknock Dental,37 Brecknock Rd, N7 0BT",,,North London
X,London - DFT - Sep - 113,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Park Vue Dental Practice, 204 High road, Wood Green,N22 8HH",,,North London
X,London - DFT - Sep - 114,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Alexandra Park Dental Practice	263 Victoria Road	Wood Green	N22 7XH",,,North London
X,London - DFT - Sep - 115,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"East Barnet Village Dental, 19 Longmore Avenue, East Barnet, EN4 8AE",,,North London
X,London - DFT - Sep - 116,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Streatfield Dental Surgery, 206 Streatfield Road, Harrow, HA3 9BU",,,North London
X,London - DFT - Sep - 117,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Church End Dental Centre, 192 Church Road, Northolt, UB5 5AE",,,North London
X,London - DFT - Sep - 118,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Bridge Dental Practice, 271 Northholt Road, Harrow Weald, HA2 8HS",,,North London
X,London - DFT - Sep - 119,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Field End Dental Clinic, 70 Field End Road, Eastcote, HA5 2QG",,,North London
X,London - DFT - Sep - 120,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Central Dental Care Kenton, 187 Kenton Road, Harrow, HA30EY",,,North London
X,London - DFT - Sep - 121,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Central Dental, 555 High Road , Wembley, HA0 2DW",,,North London
X,London - DFT - Sep - 122,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Revital Dental Care, 4 Shaftesbury Parade, South Harrow, HA2 0AJ",,,North London
X,London - DFT - Sep - 123,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"218 Dental, Leonida, Harrow, HA1 4JU",,,North London
X,London - DFT - Sep - 124,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Acton Vale Dentists, 175 the Vale, Acton, W3 7RD",,,North London
X,London - DFT - Sep - 125,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Harrow Weald Dental Practice, 359 High Road, Harrow Weald, HA3 5EQ",,,North London
X,London - DFT - Sep - 126,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Dental Care Centre, 288 Preston Road, Harrow, HA3 0QA",,,North London
X,London - DFT - Sep - 127,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Bilton Road Dental, 56 Bilton Road, Perivale, UB6 7DH",,,North London
X,London - DFT - Sep - 128,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Edmonton Village Dental Practice,17 Kendall Parade,Edmonton, N181ND",,,North London
X,London - DFT - Sep - 83,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Vara Dental Practice, 290 High Street North, Manor Park, E12 6SA",,,North London
X,London - DFT - Sep - 87,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Whitestar Dental Care, UnitSu3/4, l,  Ilford , The Ilford exchange Mall, IG11AR",,,North London
X,London - DFT - Sep - 91,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Upton Park Dental Care	Unit 1, 386-388 Green Street, E13 9AP",,,North London
X,London - DFT - Sep - 92,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Dental Solutions, 161 Ilford Lane, Ilford, IG1 2RR",,,North London
X,London - DFT - Sep - 93,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Leabridge Dental Practice, 433 Leabridge Road, Leyton, E10 7EA",,,North London
X,London - DFT - Sep - 94,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Woodford Dental Care, 6 The Broadway, Woodford Green, IG8 0HL",,,North London
X,London - DFT - Sep - 95,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Oak Hill Dental Practice,	101 Oak Hill, Woodford Green, IG8 9PF",,,North London
X,London - DFT - Sep - 96,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Wanstead Village Dental & Health Centre, Phoenix House, 24 High Street, Wanstead, E11 2AQ",,,North London
X,London - DFT - Sep - 97,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Essence Dental Clinic, 219-221 Straight Road, Romford, RM3 7JP",,,North London
X,London - DFT - Sep - 98,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Burgees Road Dental, 2 Burges Road, East Ham, E6 2BH",,,North London
X,London - DFT - Sep - 99,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Cedars Dental Practice, 775 High Road, Leyton, E10 5AB",,,North London
X,London - South London - DFT - Sep - 42,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"Brigstock Dental Practice, 97 Brigstock Road, Thornton Heath, CR7 7JL",,,South London
X,London - South London - DFT - Sep - 43,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"Knightshill Dental Practice, 132 Knights Hill, SE27 0SR",,,South London
X,London - South London - DFT - Sep - 44,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"West Croydon Dental Practice, 7 Derby Road, CR0 3SE",,,South London
X,London - South London - DFT - Sep - 45,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"Lancaster House Dental Practice, 7 Lancaster Road, South Norwood, SE23 4BJ",,,South London
X,London - South London - DFT - Sep - 46,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"Family Dental Practice, 262 Portland Road, South Norwood, SE25 4SL",,,South London
X,London - South London - DFT - Sep - 47,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"smile 4u, 10, Belmont Parade, Green Lane, Chislehurst, Bromley, BR7 6AN",,,South London
X,London - South London - DFT - Sep - 48,01/09/2021 00:00,12,DFT,Health Education England London,Health Education England South London,-,,0,"Forest  Hill Dental Surgery, 3 Dartmouth Road, Forest Hill, London, SE23 3HN",,,South London
