Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
2 sites,,,,,,,,,,,,,,,,,,
X,London - DFT - Sep - 129,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Lasalle Dental. 415 Hertford Road, Enfield, EN3 5PT and Brecknock Dental,37 Brecknock Rd, N7 0BT. This post is across two sites/practices",,,2 sites,"3.9,4.7","7,368","https://maps.google.com/?cid=8777594812578825645,https://maps.google.com/?cid=16303857938796913879",",http://www.brecknockdental.co.uk/","1 hour 17 mins,22 mins"
X,London - DFT - Sep - 130,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"172 long elms, Harrow Weald, HA3 5JZ & 21 Silicon Centre, 26-28 Wadsworth Road, Perivale, UB6 7JZ. this post is across 2 sites/practices.",,,2 sites,"4.8,4","33,17","https://maps.google.com/?cid=13675924536638579709,https://maps.google.com/?cid=4497924979481834959","http://www.ariesdental.co.uk/,http://silicondental.co.uk/","1 hour 2 mins,44 mins"
X,London - DFT - Sep - 131,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Haydons Road Dental Practice, 120 Haydons Road, Wimbledon, SW19 1AW and TW13 Dental, 160A Twickenham Road, Hanworth, TW13 6HD. This post is across two",,,2 sites,4.3,26,https://maps.google.com/?cid=16149002757119731859,https://www.nhs.uk/Services/dentists/MapsAndDirections/DefaultView.aspx?id=27206,47 mins
Central London,,,,,,,,,,,,,,,,,,
X,London - DFT - Sep - 77,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Clapton Dental Surgery, 83 Chatsworth Road, Clapton, E5 0LH",,,Central London,4.5,37,https://maps.google.com/?cid=3724989329669802488,http://www.tw13dental.co.uk/,1 hour 18 mins
X,London - DFT - Sep - 78,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"The Hoe Street Dental Practice, 337 Hoe Street, Walthamstow, E17 9BD",,,Central London,3.3,23,https://maps.google.com/?cid=18357028496531619387,,50 mins
X,London - DFT - Sep - 79,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Beaufort Dental 10 Boulevard Drive, Colindale NW95QF",,,Central London,3.7,53,https://maps.google.com/?cid=16677820742006455477,https://www.puresmilewalthamforest.co.uk/,32 mins
X,London - DFT - Sep - 80,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Salmon Lane Dental Care, 126 Salmon Lane, Limehouse, E14 7PQ",,,Central London,4.3,64,https://maps.google.com/?cid=14953742447465811122,http://beaufortdentalclinic.com/,44 mins
X,London - DFT - Sep - 81,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Dental Surgery Neasden Dental Clinic, 1 Dollis Hill Lane, Neasden, NW2 6JH",,,Central London,3,25,https://maps.google.com/?cid=8478615362180191080,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=22480,25 mins
X,London - DFT - Sep - 82,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Harrow Road Dental Surgery, 349 Harrow Road, Maida Vale, W9 3RA",,,Central London,3.8,35,https://maps.google.com/?cid=2714931912055554254,,38 mins
X,London - DFT - Sep - 84,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Tooth & Mouth LTD, 355 North End Road, Fulham, SW6 1NW",,,Central London,3.7,35,https://maps.google.com/?cid=9984376486140725935,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=21681,31 mins
X,London - DFT - Sep - 85,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Clocktower dental surgery, 1b wendover road, Harlesden, NW104RX",,,Central London,4.3,259,https://maps.google.com/?cid=3616717873068991943,http://www.nhsdentist.com/,32 mins
X,London - DFT - Sep - 86,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Bayswater Dental Surgery , 129 Queensway, Bayswater, London W2 4SJ",,,Central London,4.9,63,https://maps.google.com/?cid=14589453249697570955,http://www.clocktowerdentalsurgery.co.uk/,40 mins
X,London - DFT - Sep - 88,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Chiswick Dental Care, 8 Chiswick Terrace, Acton Lane, London, W4 5LY",,,Central London,4.5,17,https://maps.google.com/?cid=5787171941848344452,http://www.bayswaterdentalsurgery.co.uk/,23 mins
X,London - DFT - Sep - 89,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Forest Dental Care, 73 Hoe Street, Walthamstow, E17 4SA",,,Central London,4.5,51,https://maps.google.com/?cid=6103700867613138100,https://chiswickdentalcare.com/,35 mins
X,London - DFT - Sep - 90,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Cricklewood Dental Practice,  165 Cricklewood Broadway, Cricklewood, NW2 3HY",,,Central London,4.1,78,https://maps.google.com/?cid=18227884159142420711,http://www.forestdentalcare.co.uk/,30 mins
North London,,,,,,,,,,,,,,,,,,
X,London - DFT - Sep - 100,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"The Ilford Dental Centre, 131 Ley Street, Ilford, IG1 4BH",,,North London,4.2,34,https://maps.google.com/?cid=13875589203016979842,https://cricklewooddental.co.uk/,34 mins
X,London - DFT - Sep - 101,01/09/2021 00:00,12,DFT,Health Education England London,-,-,,0,"Smile Dental Clinic, 271 Aldborough Road, South Newbury Park, IG3 8JB",,,North London,4.2,28,https://maps.google.com/?cid=4852886761300138876,http://www.ilforddental.com/,41 mins
