Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,North East - Durham and Tees Valley - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Alpha Dental Studio, Chester-Le-Street, Co Durham DH2 2TT",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Park Avenue Dental Practice, Redcar, Cleveland TS10 3LA",,,Redcar
X,North East - Durham and Tees Valley - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Family Dental Practice, 2 Roseberry Shopping Centre, Redcar, Cleveland TS10 4NY",,,Redcar
X,North East - Durham and Tees Valley - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"DC Daniels Dental Practice, Linthorpe, Middlesbrough TS5 5PH & DC Daniels Dental Practice, North Ormesby, Middlesbrough  TS3 6AL  working across 2 practices",,,"2 sites,Middlesbrough"
X,North East - Durham and Tees Valley - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Berwick Hills Dental Practice, Berwick Hills, Middlesbrough TS3 7PB",,,Middlesbrough
X,North East - Durham and Tees Valley - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Marton Dental Practice, Marton, Middlesbrough, TS7 8DU",,,Middlesbrough
X,North East - Durham and Tees Valley - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Saltburn Dental, Saltburn-by-the-Sea, Cleveland TS12 1AH",,,Redcar
X,North East - Durham and Tees Valley - DFT - Sep - 24,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Alpha Dental Studio, Fairfield, Stockton-on-Tees TS19 7PP",,,Stockton on Tees
X,North East - Durham and Tees Valley - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Shildon Smile Care, Shildon, Co Durham DL4 1AL",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 29,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"West Auckland Dental Practice, West Auckland, Co Durham DL14 9HW",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 30,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Burgess & Hyder, Ferryhill, Co Durham DL17 8LG",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 31,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Bennisons Dental Practice, Brandon, Durham DH7 8NN",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 32,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Northern Smiles Dental Practice, Crook, Co Durham DL15 9BE",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 33,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Honour Health Stanley, Stanley, Co Durham DH9 0JE",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 35,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Shotley Bridge Dental Care, Blackhill, Co Durham DH8 0BH",,,County Durham
X,North East - Durham and Tees Valley - DFT - Sep - 39,01/09/2021 00:00,24,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Longitudinal scheme - Marton Dental Practice, Marton, Middlesbrough, TS7 8DU",,,"GPT,Longitudinal,Middlesbrough"
X,North East - Durham and Tees Valley - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Framwellgate Dental Care, Framwellgate Moor, Durham, DH1 5EJ",,,Durham
X,North East - Durham and Tees Valley - DFT - Sep - 7,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Churchview Dental Practice, Easington Lane DH5 0JN & Dairy Lane Dental Practice, Houghton Le Spring, DH4 5BH.  Working over 2 practcies",,,"2 sites,Tyne & Wear"
X,North East - Newcastle - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Grange Dental Centre, Gosforth, Newcastle NE3 2DQ",,,Newcastle
X,North East - Newcastle - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Grange Road West Dental Practice, Jarrow, Tyne & Wear, NE32 3JA",,,Tyne & Wear
X,North East - Newcastle - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"The Dental Care Clinic, Westerhope, Newcastle NE5 2LH",,,Newcastle
X,North East - Newcastle - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Tyneview Dental Practice, Benwell, Newcastle NE15 6TB",,,Newcastle
X,North East - Newcastle - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"1a Dentist, South Shields, Tyne & Wear NE33 1PD",,,Tyne & Wear
X,North East - Newcastle - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"The Dental Centre, Washington, Tyne & Wear NE37 2BA",,,Washington
X,North East - Newcastle - DFT - Sep - 25,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Frederick Street Family Dental Practice, Sunderland SR1 1NF",,,Sunderland
X,North East - Newcastle - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"James Robinson, Greencroft Lodge Dental Practice, Rowlands Gill, Tyne & Wear, NE39 1HX",,,Tyne & Wear
X,North East - Newcastle - DFT - Sep - 37,01/09/2021 00:00,24,DFT,Health Education England North East,-,Newcastle,,0,"Longitudinal scheme - Grange Road West Dental Practice, Jarrow, Tyne & Wear, NE32 3JA",,,"GPT,Longitudinal,Tyne & Wear"
X,North East - Newcastle - DFT - Sep - 38,01/09/2021 00:00,24,DFT,Health Education England North East,-,Newcastle,,0,"Longitudinal scheme - InDental, Felling, Gateshead NE3 4NQ",,,"GPT,Longitudinal,Tyne & Wear"
X,North East - Newcastle - DFT - Sep - 40,01/09/2021 00:00,24,DFT,Health Education England North East,-,Newcastle,,0,"Longitudinal scheme - The Whitley Dental Clinic,Whitley Bay, Tyne & Wear NE26 1DS",,,"GPT,Longitudinal,Tyne & Wear"
X,North East - Newcastle - DFT - Sep - 41,01/09/2021 00:00,24,DFT,Health Education England North East,-,Newcastle,,0,"Longitudinal scheme - My Dentist, South Shields, Tyne & Wear NE33 4LZ",,,"GPT,Longitudinal,Tyne & Wear"
X,North East - Newcastle - DFT - Sep - 42,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Paul Edwards, Greencroft Lodge Dental Practice, Rowlands Gill, Tyne & Wear, NE39 1HX",,,Tyne & Wear
X,North East - Newcastle - DFT - Sep - 43,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Ryan Gray, Angel Dental Care, 6 Frenton Close, Chapel House, Newcastle, NE5 1EH",,,Newcastle
X,North East - Newcastle - DFT - Sep - 5,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Ilfracombe Dental Practice, Whitley Bay, Tyne & Wear, NE26 3SL",,,Tyne & Wear
