Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,North East - Durham and Tees Valley - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Alpha Dental Studio, Chester-Le-Street, Co Durham DH2 2TT",,,County Durham,4.1,14,https://maps.google.com/?cid=14248005653978734439,https://www.alphadentalchesterlestreet.co.uk/,3 hours 28 mins
X,North East - Durham and Tees Valley - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Park Avenue Dental Practice, Redcar, Cleveland TS10 3LA",,,Redcar,3.7,11,https://maps.google.com/?cid=5950794314254835494,http://www.parkavedental.com/,3 hours 46 mins
X,North East - Durham and Tees Valley - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Family Dental Practice, 2 Roseberry Shopping Centre, Redcar, Cleveland TS10 4NY",,,Redcar,4.6,92,https://maps.google.com/?cid=17106801990755009145,http://www.familydentalpractice.co.uk/,3 hours 54 mins
X,North East - Durham and Tees Valley - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"DC Daniels Dental Practice, Linthorpe, Middlesbrough TS5 5PH & DC Daniels Dental Practice, North Ormesby, Middlesbrough  TS3 6AL  working across 2 practices",,,"2 sites,Middlesbrough","3.3,3.3","12,12","https://maps.google.com/?cid=5345353025840317148,https://maps.google.com/?cid=5345353025840317148","https://www.dcdanielsdental.com/,https://www.dcdanielsdental.com/","4 hours 5 mins,4 hours 5 mins"
X,North East - Durham and Tees Valley - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Berwick Hills Dental Practice, Berwick Hills, Middlesbrough TS3 7PB",,,Middlesbrough,4,16,https://maps.google.com/?cid=15124820678409811345,http://www.berwickhillsdental.co.uk/,3 hours 53 mins
X,North East - Durham and Tees Valley - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Marton Dental Practice, Marton, Middlesbrough, TS7 8DU",,,Middlesbrough,4.8,84,https://maps.google.com/?cid=10574860077692532538,http://www.martondentalpractice.org.uk/,4 hours 6 mins
X,North East - Durham and Tees Valley - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Saltburn Dental, Saltburn-by-the-Sea, Cleveland TS12 1AH",,,Redcar,4.2,11,https://maps.google.com/?cid=10162476598977622227,http://saltburndental.co.uk/,3 hours 47 mins
X,North East - Durham and Tees Valley - DFT - Sep - 24,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Alpha Dental Studio, Fairfield, Stockton-on-Tees TS19 7PP",,,Stockton on Tees,4,8,https://maps.google.com/?cid=12220888503878613205,https://www.alphadentalstockton.co.uk/,3 hours 56 mins
X,North East - Durham and Tees Valley - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Shildon Smile Care, Shildon, Co Durham DL4 1AL",,,County Durham,3.8,16,https://maps.google.com/?cid=8639678793202659174,https://www.ashbyandatkinson.com/shildon-dental-practice/,3 hours 36 mins
X,North East - Durham and Tees Valley - DFT - Sep - 29,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"West Auckland Dental Practice, West Auckland, Co Durham DL14 9HW",,,County Durham,3.7,21,https://maps.google.com/?cid=2454488483039854763,http://www.westaucklanddentalpractice.co.uk/,4 hours 0 mins
X,North East - Durham and Tees Valley - DFT - Sep - 30,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Burgess & Hyder, Ferryhill, Co Durham DL17 8LG",,,County Durham,3.6,30,https://maps.google.com/?cid=13336464148073612729,https://burgesshyder.co.uk/,3 hours 49 mins
X,North East - Durham and Tees Valley - DFT - Sep - 31,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Bennisons Dental Practice, Brandon, Durham DH7 8NN",,,County Durham,4.3,12,https://maps.google.com/?cid=15282012511971295305,http://www.bennisonsdental.co.uk/,3 hours 52 mins
X,North East - Durham and Tees Valley - DFT - Sep - 32,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Northern Smiles Dental Practice, Crook, Co Durham DL15 9BE",,,County Durham,4.7,46,https://maps.google.com/?cid=606252793361298652,http://www.northernsmiles.co.uk/,4 hours 2 mins
X,North East - Durham and Tees Valley - DFT - Sep - 33,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Honour Health Stanley, Stanley, Co Durham DH9 0JE",,,County Durham,4.8,132,https://maps.google.com/?cid=17504722393131766158,http://www.honourhealth.co.uk/,3 hours 53 mins
X,North East - Durham and Tees Valley - DFT - Sep - 35,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Shotley Bridge Dental Care, Blackhill, Co Durham DH8 0BH",,,County Durham,3.7,15,https://maps.google.com/?cid=17039543207269965753,http://shotleybridgedentalcare.co.uk/,4 hours 37 mins
X,North East - Durham and Tees Valley - DFT - Sep - 39,01/09/2021 00:00,24,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Longitudinal scheme - Marton Dental Practice, Marton, Middlesbrough, TS7 8DU",,,"GPT,Longitudinal,Middlesbrough",4.8,84,https://maps.google.com/?cid=10574860077692532538,http://www.martondentalpractice.org.uk/,4 hours 6 mins
X,North East - Durham and Tees Valley - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Framwellgate Dental Care, Framwellgate Moor, Durham, DH1 5EJ",,,Durham,"3.9,3.9","19,11","https://maps.google.com/?cid=16794236033606852621,https://maps.google.com/?cid=10979379593597493761","http://framdental.com/,","3 hours 35 mins,4 hours 4 mins"
X,North East - Durham and Tees Valley - DFT - Sep - 7,01/09/2021 00:00,12,DFT,Health Education England North East,-,Durham and Tees Valley,,0,"Churchview Dental Practice, Easington Lane DH5 0JN & Dairy Lane Dental Practice, Houghton Le Spring, DH4 5BH.  Working over 2 practcies",,,"2 sites,Tyne & Wear",3.9,12,https://maps.google.com/?cid=654764955474555170,http://www.dairylanedental.co.uk/,3 hours 50 mins
X,North East - Newcastle - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Grange Dental Centre, Gosforth, Newcastle NE3 2DQ",,,Newcastle,4.8,62,https://maps.google.com/?cid=12710573393891095162,http://www.grangedentalcentre.co.uk/,3 hours 32 mins
X,North East - Newcastle - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"Grange Road West Dental Practice, Jarrow, Tyne & Wear, NE32 3JA",,,Tyne & Wear,4.7,19,https://maps.google.com/?cid=3572798432168292964,http://www.jarrowdentists.co.uk/,3 hours 42 mins
X,North East - Newcastle - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England North East,-,Newcastle,,0,"The Dental Care Clinic, Westerhope, Newcastle NE5 2LH",,,Newcastle,4.5,42,https://maps.google.com/?cid=13285743477535995565,https://www.thedentalcareclinic.co.uk/,3 hours 41 mins
