Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Liam Quinn, Quinn Dental, 53 Main Street, Randalstown, BT41 3BB",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Darren Walsh,P G Lawson & Associates, 26-34 Rathfriland Street, Banbridge, BT32 3LA",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"David Adgey,Bank Dental Practice, 231-235 Shankill Road, Belfast, BT13 1FQ",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Deirdre Ball,One Dental, 1 Queen Street, Londonderry, BT48 7EF",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Jeremy Doogan, Doogan Dental Care, 8 Finaghy Road South, Belfast, BT10 0DR",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"John O'Boyle,Antrim Dental Care, 15C Market Square, Antrim, BT41 4AW",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Kathy Beirne, BUPA Dental Care, 350 Antrim Road, Glengormley, BT36 5EQ",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Kegan Lewis,Sperrin Smile Dental Care, 78 Main Street, Dungiven, BT47 4LG",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Mark Johnston,The Dundonald Dental Practice, 963-969 Upper Newtownards Road, Dundonald, BT16 1RL",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Mary Claire Carroll,Sliabh Mor Dental Care Unit 36, Kennedy Centre, 564-568 Falls Road Belfast, BT11 9AE",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Michael Clements,Clements Dental Care, 22 West Street, Carrickfergus, BT38 7AR",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Adam Jeffers,Loughry Dental Practice, 3A Kilycolp Road, Cookstown, BT80 9AD",,,"NIMDTA,Northern Ireland"
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Owen Devlin,Devlin Dental Practice, 55 Thomas Street, Dungannon, BT70 1HW",,,"NIMDTA,Northern Ireland"
