Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Liam Quinn, Quinn Dental, 53 Main Street, Randalstown, BT41 3BB",,,"NIMDTA,Northern Ireland",4.5,2,https://maps.google.com/?cid=1895859028989948591,http://www.quinndental.co.uk/,23 hours 5 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Darren Walsh,P G Lawson & Associates, 26-34 Rathfriland Street, Banbridge, BT32 3LA",,,"NIMDTA,Northern Ireland",5,1,https://maps.google.com/?cid=18276318896477657446,,17 hours 43 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"David Adgey,Bank Dental Practice, 231-235 Shankill Road, Belfast, BT13 1FQ",,,"NIMDTA,Northern Ireland",5,7,https://maps.google.com/?cid=2571936784171866942,,17 hours 12 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Deirdre Ball,One Dental, 1 Queen Street, Londonderry, BT48 7EF",,,"NIMDTA,Northern Ireland",5,2,https://maps.google.com/?cid=377457371692264047,https://onedentalderry.com/,21 hours 44 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Jeremy Doogan, Doogan Dental Care, 8 Finaghy Road South, Belfast, BT10 0DR",,,"NIMDTA,Northern Ireland",5,1,https://maps.google.com/?cid=18199939744911717364,http://doogandental.com/,17 hours 13 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"John O'Boyle,Antrim Dental Care, 15C Market Square, Antrim, BT41 4AW",,,"NIMDTA,Northern Ireland",5,3,https://maps.google.com/?cid=10750441432335544146,https://www.antrimdentalcare.co.uk/,23 hours 1 min
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Kathy Beirne, BUPA Dental Care, 350 Antrim Road, Glengormley, BT36 5EQ",,,"NIMDTA,Northern Ireland",4.7,106,https://maps.google.com/?cid=4620599086559640335,https://www.bupa.co.uk/dental/dental-care/practices/glengormley?y_source=1_MTE2Njk5ODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,11 hours 37 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Kegan Lewis,Sperrin Smile Dental Care, 78 Main Street, Dungiven, BT47 4LG",,,"NIMDTA,Northern Ireland",5,2,https://maps.google.com/?cid=7216586909954161054,http://www.sperrinsmile.com/,21 hours 11 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Mark Johnston,The Dundonald Dental Practice, 963-969 Upper Newtownards Road, Dundonald, BT16 1RL",,,"NIMDTA,Northern Ireland",4.9,129,https://maps.google.com/?cid=5764487668163485247,https://www.bupa.co.uk/dental/dental-care/practices/dundonald?y_source=1_MTE2NzAyNDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,11 hours 35 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Mary Claire Carroll,Sliabh Mor Dental Care Unit 36, Kennedy Centre, 564-568 Falls Road Belfast, BT11 9AE",,,"NIMDTA,Northern Ireland",2.9,10,https://maps.google.com/?cid=6589769900776866679,http://www.sliabhmor.co.uk/,17 hours 16 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Michael Clements,Clements Dental Care, 22 West Street, Carrickfergus, BT38 7AR",,,"NIMDTA,Northern Ireland",5,3,https://maps.google.com/?cid=3656237953359802381,http://www.clementsdentalcare.co.uk/,21 hours 19 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Adam Jeffers,Loughry Dental Practice, 3A Kilycolp Road, Cookstown, BT80 9AD",,,"NIMDTA,Northern Ireland",4.5,8,https://maps.google.com/?cid=9044645202601718359,http://www.loughrydentalpractice.co.uk/,1 day 0 hours
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Owen Devlin,Devlin Dental Practice, 55 Thomas Street, Dungannon, BT70 1HW",,,"NIMDTA,Northern Ireland",3,2,https://maps.google.com/?cid=9382194032635327957,,17 hours 11 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Stuart Fitzgerald,BUPA Dental Care, 292 Shore Road, Newtownabbey, BT37 9RW",,,"NIMDTA,Northern Ireland",4.6,86,https://maps.google.com/?cid=1062508414283845955,https://www.bupa.co.uk/dental/dental-care/practices/newtownabbey?y_source=1_MTE2NzAwOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,18 hours 41 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Mark Morris,The Glens Dental Practice, 2 Gortaclee Road, Cushendall, BT44 0TE",,,"NIMDTA,Northern Ireland",5,1,https://maps.google.com/?cid=84261121263980109,http://www.theglensdentalpractice.com/,1 day 1 hour
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Raymond Haugh & Andrew Haugh,Haugh Dental Care, 3-5 Newcastle Street, Kilkeel, BT34 4AF",,,"NIMDTA,Northern Ireland",5,17,https://maps.google.com/?cid=16675792374833161566,https://www.haughdentalcare.co.uk/,22 hours 11 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 24,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"DJ Maguire and Associates, 83A Bridge St, Portadown, BT63 5AA",,,"NIMDTA,Northern Ireland",3.9,14,https://maps.google.com/?cid=15613844053439369519,http://www.djmaguiredentists.co.uk/,17 hours 3 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 4,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Stephen Rainey,New Row Dental, 39 New Row, Coleraine, BT52 1AE",,,"NIMDTA,Northern Ireland",5,5,https://maps.google.com/?cid=16605689082757760477,,1 day 0 hours
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 5,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Gavin Maguire & Jennie McClean,Dromore Dental, 25 Church Street, Dromore, BT25 1AA",,,"NIMDTA,Northern Ireland",4.5,8,https://maps.google.com/?cid=5120936127445305540,http://www.dromoredental.co.uk/,19 hours 16 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 6,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Robert Millar,Dental Health Matters, Londonderry, BT476AG",,,"NIMDTA,Northern Ireland",2.3,3,https://maps.google.com/?cid=11214882371519404188,http://www.dentalhealthmatters.com/,21 hours 53 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 7,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Joe Murphy & Bibiana Blay-Montagut,BUPA Dental Care, Elliott House, 5-7 Belmore Street, Enniskillen, BT74 6AA",,,"NIMDTA,Northern Ireland",4.7,32,https://maps.google.com/?cid=11721609501739298466,https://www.bupa.co.uk/dental/dental-care/practices/enniskillen?y_source=1_MTE2Njk5NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,16 hours 26 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 8,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Birinder Singh & Claire Kelly,Catherine Street Dental Care, 38 Catherine Street, Limavady, BT49 9DB",,,"NIMDTA,Northern Ireland",4.8,13,https://maps.google.com/?cid=5630341568124075960,http://www.nhsdentistlimavady.com/,23 hours 23 mins
X,Northern Ireland - Northern Ireland Scheme - DFT - Sep - 9,01/09/2021 00:00,12,DFT,Northern Ireland,-,Northern Ireland Scheme,,0,"Cara McAuley,Turk Dental Care, 114 Castlereagh Road, Belfast, BT5 5FR",,,"NIMDTA,Northern Ireland",5,6,https://maps.google.com/?cid=3520887330404864946,http://nhsdentistbelfast.com/,17 hours 10 mins
