Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,South West - Severn - Bath - DFT - Sep - 14,01/09/2021 00:00,24,DFT,Health Education England South West,Health Education England South West - Severn,Bath,,0,"Bathampton Dental Practice, 29 Holcombe Lane, Bathampton, Bath. ",,,"Bath,Longitudinal"
X,South West - Severn - Bristol - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Keynsham Dental Care, 7 High Street, Keynsham, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Portishead Dental Practice, 52 Nore Road, Portishead, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"My Dentist Filton Road Dental Practice, 114 Gloucester Road North, Filton, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Oldland Dental Practice, 206 High Street, Oldland Common, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Yate Dental Surgery, 2A North Walk, Yate, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Apple Dental Practice, 97 High Street, Winterbourne, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Redland Park Dental Surgery, 9 Redland Park, Redland, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 27,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Ashley Down Dental Care, 382 Gloucester Road, Horfield, Bristol",,,Bristol
X,South West - Severn - Bristol - DFT - Sep - 3,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Purple Dental Care, 104 108 Gatcome Road, Hartcliffe, Bristol",,,Bristol
