Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london,
Bath,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Bath - DFT - Sep - 14,01/09/2021 00:00,24,DFT,Health Education England South West,Health Education England South West - Severn,Bath,,0,"Bathampton Dental Practice, 29 Holcombe Lane, Bathampton, Bath. ",,,"Bath,Longitudinal",4.2,9,https://maps.google.com/?cid=17987611768459012753,https://www.nhs.uk/Services/dentists/Overview/DefaultView.aspx?id=35044,2 hours 13 mins,
Bristol,,,,,,,,,,,,,,,,,,,
X,South West - Severn - Bristol - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Keynsham Dental Care, 7 High Street, Keynsham, Bristol",,,Bristol,4.9,99,https://maps.google.com/?cid=10670997300733379726,http://www.keynshamdentalcare.co.uk/,2 hours 22 mins,
X,South West - Severn - Bristol - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Portishead Dental Practice, 52 Nore Road, Portishead, Bristol",,,Bristol,5,18,https://maps.google.com/?cid=784109246621728630,http://www.portisheaddentalpractice.co.uk/,3 hours 20 mins,
X,South West - Severn - Bristol - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"My Dentist Filton Road Dental Practice, 114 Gloucester Road North, Filton, Bristol",,,Bristol,4.5,20,https://maps.google.com/?cid=6625351914320514777,https://www.mydentist.co.uk/dentists/practices/england/south-west-england/bristol/114-gloucester-road-north?utm_source=google&utm_medium=local&utm_content=69&utm_campaign=my-business,2 hours 14 mins,
X,South West - Severn - Bristol - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Oldland Dental Practice, 206 High Street, Oldland Common, Bristol",,,Bristol,4.4,17,https://maps.google.com/?cid=972077812240412002,http://www.oldlanddental.co.uk/,2 hours 35 mins,
X,South West - Severn - Bristol - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Yate Dental Surgery, 2A North Walk, Yate, Bristol",,,Bristol,3.3,13,https://maps.google.com/?cid=17075411440822371626,https://www.yatedental.co.uk/,2 hours 20 mins,
X,South West - Severn - Bristol - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Apple Dental Practice, 97 High Street, Winterbourne, Bristol",,,Bristol,3,23,https://maps.google.com/?cid=17103023284847550382,https://www.appledentalpractice.co.uk/,2 hours 25 mins,
X,South West - Severn - Bristol - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England South West,Health Education England South West - Severn,Bristol,,0,"Redland Park Dental Surgery, 9 Redland Park, Redland, Bristol",,,Bristol,4.8,30,https://maps.google.com/?cid=2012683312644188788,,2 hours 29 mins,
