Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,Thames Valley - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Abbey Dental Surgery, 5 Sheffield Road Slough SL2 3EG - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Windsor Road Dental Practice, 108 Windsor Road Slough SL1 2JA - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Abacus Dental Care, 52 Lennon Drive Milton Keynes MK8 0AS - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Amersham Hill Dental Clinic, 13 Amersham Hill Dental Clinic, High Wycombe HP13 6NR - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Bupa dentalcare Princes Risborough (Malthouse Dental Practice) 5-7 Duke Street Princes Risborough HP7 0AT - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Care Dental Windsor, 67 Dedworth Road, 67 Dedworth Road, Windsor - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Chess House Dental Surgery, 105 High St, Chesham HP5 1DE  - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Milton Keynes Dental Clinic 251 Queensway Bletchley MK2 2EH - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,STRATFORD HOUSE DENTAL PRACTICE 36 Stratford Road Wolverton MK12 5LW - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,The Cambridge Street Dental Practice 7 Cambridge Street Aylesbury HP20 1RP - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Valley Dentalcare 205 Desborough Road High Wycombe HP11 2QL - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Ascot Dental Practice, 13 London Road South Ascot SL2 1HA - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Banbury Dental Practice 35 High Street Banbury OX16 5ER - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Bloxham Dental @ Banbury 49 The Green Southbar OX16 9AB - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Bloxham Dental Practice @ Bloxham Godswell Stables Church Street OX15 4ES - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
X,Thames Valley - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Buckingham House Dental Practice 7 High Street Buckingham MK18 1NT - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex
