Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,Thames Valley - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Abbey Dental Surgery, 5 Sheffield Road Slough SL2 3EG - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,3.8,39,https://maps.google.com/?cid=6817308160902981327,http://www.abbeydentalsurgery.co.uk/,1 hour 26 mins
X,Thames Valley - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Windsor Road Dental Practice, 108 Windsor Road Slough SL1 2JA - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,4.2,42,https://maps.google.com/?cid=1114776807635147309,http://www.windsorroaddental.co.uk/,1 hour 15 mins
X,Thames Valley - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Abacus Dental Care, 52 Lennon Drive Milton Keynes MK8 0AS - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,4.7,82,https://maps.google.com/?cid=10283847950747080627,https://www.abacusdental.com/,1 hour 26 mins
X,Thames Valley - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Amersham Hill Dental Clinic, 13 Amersham Hill Dental Clinic, High Wycombe HP13 6NR - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,3.6,14,https://maps.google.com/?cid=16758955708539531286,http://www.wycombe-dentists.com/,56 mins
X,Thames Valley - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Bupa dentalcare Princes Risborough (Malthouse Dental Practice) 5-7 Duke Street Princes Risborough HP7 0AT - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex,4.3,18,https://maps.google.com/?cid=15097342152638970721,https://www.bupa.co.uk/dental/dental-care/practices/princes-risborough?y_source=1_MTU2MjgzNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,1 hour 21 mins
X,Thames Valley - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Care Dental Windsor, 67 Dedworth Road, 67 Dedworth Road, Windsor - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,4.1,29,https://maps.google.com/?cid=5436677376223016662,http://www.caredentalwindsor.co.uk/,1 hour 21 mins
X,Thames Valley - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,"Chess House Dental Surgery, 105 High St, Chesham HP5 1DE  - HEE Thames Valley and Wessex",,,HEE Thames Valley and Wessex,4.5,103,https://maps.google.com/?cid=9978602656154134596,http://www.chesshousedental.com/,1 hour 19 mins
X,Thames Valley - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,Milton Keynes Dental Clinic 251 Queensway Bletchley MK2 2EH - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex,4.8,223,https://maps.google.com/?cid=6340964600035379950,http://www.mkdental.co.uk/,1 hour 18 mins
X,Thames Valley - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,STRATFORD HOUSE DENTAL PRACTICE 36 Stratford Road Wolverton MK12 5LW - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex,4.1,22,https://maps.google.com/?cid=6221110477607698406,http://www.stratfordhousedentalpractice.co.uk/,1 hour 18 mins
X,Thames Valley - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Health Education England Thames Valley,-,-,,0,The Cambridge Street Dental Practice 7 Cambridge Street Aylesbury HP20 1RP - HEE Thames Valley and Wessex,,,HEE Thames Valley and Wessex,4.3,93,https://maps.google.com/?cid=4631787131579592763,http://www.cambridgestreetdental.co.uk/,1 hour 32 mins
