Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,Wales - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Nishat Afroz - 1-3 Lady Margaret Court, Penylan , Cardiff CF23 9AW",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Miss Sarah Gatley - Ground floor unit 6 Greenmeadow Springs Business Park, Village Way, Cardiff CF15 7NE",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Mark Hill & Mr Omar Parvaiz- 3-4 Park Place, Cardiff . CF10 3DP, www.parkplacedental.co.uk",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Owain Joynson - 2 Porthkerry Road, Barry, CF62 7AX",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Catrin Parry-Jones - 62 Celyn Avenue, Lakeside, Cardiff, CF23 6EP",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Timothy Phillips - 6 Fairwater Green, Fairwater, Cardiff CF5 3BA, www.fairwatergreendentalpractice.co.uk",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Simon Ralphs - 157 Holton Road, Barry, Vale of Glamorgan, CF63 4HP",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Ioan Rees & Mr Tristan Roberts - Hywel Samuel & Associates, 28 St Mary Street, Cardiff, CF10 1AB",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Emyr Roberts - 4 Rachel Close, Danescourt, Cardiff. CF5 2SH, https://www.thecourtyarddental.com",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Ashish Shah - Hood Rd, Barry CF62 5QN",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 62,02/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Mark Rice-Jones - The Dental Centre Oakdale, The square, Oakdale,Blackwood, Gwent, NP12 0LR",,,Cardiff & Barry Scheme
X,Wales - DFT - Sep - 51,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Sian Blackshaw - 148 High Street, Cefn Coed, Merthyr Tydfil, CF48 2PL",,,Glamorgan Vale & Beacons Scheme
X,Wales - DFT - Sep - 52,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mrs Sonal Chalishazar & Mrs Shilpa Chaudhry - 3 Maendy Place, Aberdare, CF44 7 AY",,,Glamorgan Vale & Beacons Scheme
X,Wales - DFT - Sep - 53,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mrs Evelyn Gough - Love Lane, Pendre, Builth Wells LD2 3DG & Cerrigcochion Road, Brecon, Ld3 7NS",,,Glamorgan Vale & Beacons Scheme
