Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,Wales - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Nishat Afroz - 1-3 Lady Margaret Court, Penylan , Cardiff CF23 9AW",,,Cardiff & Barry Scheme,4.3,15,https://maps.google.com/?cid=9305071030779082929,http://www.colchesterdentalsurgery.co.uk/,2 hours 59 mins
X,Wales - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Miss Sarah Gatley - Ground floor unit 6 Greenmeadow Springs Business Park, Village Way, Cardiff CF15 7NE",,,Cardiff & Barry Scheme,4.8,90,https://maps.google.com/?cid=5936771864290842432,http://www.cwtchdental.co.uk/,3 hours 13 mins
X,Wales - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Mark Hill & Mr Omar Parvaiz- 3-4 Park Place, Cardiff . CF10 3DP, www.parkplacedental.co.uk",,,Cardiff & Barry Scheme,4.9,351,https://maps.google.com/?cid=14910456909528951095,http://www.parkplacedental.co.uk/,2 hours 35 mins
X,Wales - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Owain Joynson - 2 Porthkerry Road, Barry, CF62 7AX",,,Cardiff & Barry Scheme,4.7,10,https://maps.google.com/?cid=2478648310028659095,https://www.valedentalcentres.co.uk/,2 hours 59 mins
X,Wales - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Catrin Parry-Jones - 62 Celyn Avenue, Lakeside, Cardiff, CF23 6EP",,,Cardiff & Barry Scheme,4.5,13,https://maps.google.com/?cid=9828663121940363780,http://lakesidedental.co.uk/,2 hours 52 mins
X,Wales - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Timothy Phillips - 6 Fairwater Green, Fairwater, Cardiff CF5 3BA, www.fairwatergreendentalpractice.co.uk",,,Cardiff & Barry Scheme,4.4,14,https://maps.google.com/?cid=16658967532433242033,http://www.fairwatergreendentalpractice.co.uk/,2 hours 50 mins
X,Wales - DFT - Sep - 18,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Simon Ralphs - 157 Holton Road, Barry, Vale of Glamorgan, CF63 4HP",,,Cardiff & Barry Scheme,5,8,https://maps.google.com/?cid=2280442025270991563,https://www.valedentalcentres.co.uk/holton-dental-centre,2 hours 58 mins
X,Wales - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Ioan Rees & Mr Tristan Roberts - Hywel Samuel & Associates, 28 St Mary Street, Cardiff, CF10 1AB",,,Cardiff & Barry Scheme,4.3,26,https://maps.google.com/?cid=10197418584897461900,http://www.hywelsamuel.co.uk/,2 hours 26 mins
X,Wales - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Emyr Roberts - 4 Rachel Close, Danescourt, Cardiff. CF5 2SH, https://www.thecourtyarddental.com",,,Cardiff & Barry Scheme,3.5,16,https://maps.google.com/?cid=16913339654971220544,http://www.thecourtyarddental.com/,2 hours 55 mins
X,Wales - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mr Ashish Shah - Hood Rd, Barry CF62 5QN",,,Cardiff & Barry Scheme,4.6,12,https://maps.google.com/?cid=15772292408473872116,http://www.westquaydental.co.uk/,3 hours 4 mins
X,Wales - DFT - Sep - 62,02/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Mark Rice-Jones - The Dental Centre Oakdale, The square, Oakdale,Blackwood, Gwent, NP12 0LR",,,Cardiff & Barry Scheme,4,8,https://maps.google.com/?cid=4568966352904698998,,3 hours 28 mins
X,Wales - DFT - Sep - 51,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Dr Sian Blackshaw - 148 High Street, Cefn Coed, Merthyr Tydfil, CF48 2PL",,,Glamorgan Vale & Beacons Scheme,5,1,https://maps.google.com/?cid=17153378888291935879,,4 hours 11 mins
X,Wales - DFT - Sep - 52,01/09/2021 00:00,12,DFT,Wales,-,-,,0,"Mrs Sonal Chalishazar & Mrs Shilpa Chaudhry - 3 Maendy Place, Aberdare, CF44 7 AY",,,Glamorgan Vale & Beacons Scheme,3.4,9,https://maps.google.com/?cid=16722679777030731463,,3 hours 34 mins
