Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags
X,Yorkshire and the Humber - DFT - Sep - 1,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,Glen Lea Dental Suite - DCT component based in York,,,"Longitudinal,Yorkshire and Humber"
X,Yorkshire and the Humber - DFT - Sep - 2,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,mydentist hessle road- DCT component based in Hull,,,"Longitudinal,Yorkshire and Humber"
X,Yorkshire and the Humber - DFT - Sep - 3,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,Peel Park Dental Practice - DCT component based in Bradford,,,"Longitudinal,Yorkshire and Humber"
X,Yorkshire and the Humber - DFT - Sep - 4,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,"Dewsbury Dental Centre, 15 Halifax Road, Dewsbury, WF132JH - DCT component based in Wakefield",,,"Longitudinal,Yorkshire and Humber"
X,Yorkshire and the Humber - DFT - Sep - 5,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,"A and S Dental Surgeons Ltd, 65 Duckworth Lane,  Bradford, BD9 5EU - DCT component based in Bradford",,,"Longitudinal,Yorkshire and Humber"
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Bawtry Dental Practice, 5 Swan Street, Bawtry, DN10 6JQ",,,Area 3 South Yorkshire 
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Firth Park Dental Sheffield, 420 Firth Park Road, Sheffield, S5 6HH",,,"Area 3 South Yorkshire ,Sheffield "
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Genesis Dental Care, 317 Doncaster Road, Stairfoot, Barnsley,  S70 3PW",,,Area 3 South Yorkshire 
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Handsworth Dental Care,  269 Handsworth Road, Handsworth, Sheffield, S13 9BN",,,"Area 3 South Yorkshire ,Sheffield "
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"HEMPER LANE DENTAL PRACTICE, 58, HEMPER LANE, SHEFFIELD, S8 7FD",,,"Area 3 South Yorkshire ,Sheffield "
