Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,Yorkshire and the Humber - DFT - Sep - 1,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,Glen Lea Dental Suite - DCT component based in York,,,"Longitudinal,Yorkshire and Humber",4.3,27,https://maps.google.com/?cid=11268468922776942154,http://www.glenleadental.co.uk/,3 hours 22 mins
X,Yorkshire and the Humber - DFT - Sep - 2,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,mydentist hessle road- DCT component based in Hull,,,"Longitudinal,Yorkshire and Humber",4.6,49,https://maps.google.com/?cid=5728088605099346986,https://www.mydentist.co.uk/dentists/practices/england/yorkshire-and-the-humber/kingston-upon-hull/priory-house-dental-care?utm_source=google&utm_medium=local&utm_content=615&utm_campaign=my-business,3 hours 22 mins
X,Yorkshire and the Humber - DFT - Sep - 3,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,Peel Park Dental Practice - DCT component based in Bradford,,,"Longitudinal,Yorkshire and Humber",3.9,44,https://maps.google.com/?cid=1230306148627522872,http://www.peelparkdentalpractice.co.uk/,3 hours 35 mins
X,Yorkshire and the Humber - DFT - Sep - 4,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,"Dewsbury Dental Centre, 15 Halifax Road, Dewsbury, WF132JH - DCT component based in Wakefield",,,"Longitudinal,Yorkshire and Humber",4.7,38,https://maps.google.com/?cid=4131401085128833438,http://www.dewsburydental.co.uk/,2 hours 59 mins
X,Yorkshire and the Humber - DFT - Sep - 5,01/09/2021 00:00,24,DFT,Health Education England Yorkshire and the Humber,-,-,,0,"A and S Dental Surgeons Ltd, 65 Duckworth Lane,  Bradford, BD9 5EU - DCT component based in Bradford",,,"Longitudinal,Yorkshire and Humber",4.1,26,https://maps.google.com/?cid=1262487722239649591,http://www.aandsdental.co.uk/,4 hours 22 mins
South Yorkshire,,,,,,,,,,,,,,,,,,
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 1,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Bawtry Dental Practice, 5 Swan Street, Bawtry, DN10 6JQ",,,Area 3 South Yorkshire ,4.8,18,https://maps.google.com/?cid=254246035583627548,http://bawtrydentalpractice.com/,2 hours 36 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 10,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Firth Park Dental Sheffield, 420 Firth Park Road, Sheffield, S5 6HH",,,"Area 3 South Yorkshire ,Sheffield ",4.2,31,https://maps.google.com/?cid=5088000812105874657,http://www.firthparkdental.co.uk/,2 hours 54 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 11,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Genesis Dental Care, 317 Doncaster Road, Stairfoot, Barnsley,  S70 3PW",,,Area 3 South Yorkshire ,4.8,129,https://maps.google.com/?cid=7263423747207984417,https://lyntonhouse.dentalpartners.co.uk/,3 hours 20 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 12,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Handsworth Dental Care,  269 Handsworth Road, Handsworth, Sheffield, S13 9BN",,,"Area 3 South Yorkshire ,Sheffield ",5,5,https://maps.google.com/?cid=8560884816366697623,http://handsworth-dental-care-sheffield.co.uk/,3 hours 0 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 13,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"HEMPER LANE DENTAL PRACTICE, 58, HEMPER LANE, SHEFFIELD, S8 7FD",,,"Area 3 South Yorkshire ,Sheffield ",4.7,3,https://maps.google.com/?cid=10543040705137947410,http://www.hemperlanedental.co.uk/,3 hours 17 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 14,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"High Green Dental Practice, 3a Wortley Road, High Green, Sheffield, S35 4LQ",,,"Area 3 South Yorkshire ,Sheffield ",4.8,126,https://maps.google.com/?cid=10879675949840181270,http://highgreen.dentalpartners.co.uk/,3 hours 11 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 15,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"High Street Dental Care, 99 High Street , Mosborough, Sheffield, S20 5AF",,,"Area 3 South Yorkshire ,Sheffield ",4.3,6,https://maps.google.com/?cid=9720045553799580772,http://www.highstreetdentalcare.com/,2 hours 58 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 16,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Hurlfield Dental Practice , 49 Hurlfield Road Sheffield , S12 2SD",,,"Area 3 South Yorkshire ,Sheffield ",4.6,56,https://maps.google.com/?cid=3891631928857915982,https://hurlfield.dentalpartners.co.uk/,2 hours 44 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 17,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"IMPRESSIONS DENTAL CARE, GRANGE VILLA , 20 THORNE RD, DONCASTER, DN1 2HS",,,Area 3 South Yorkshire ,5,4,https://maps.google.com/?cid=14388139997383192777,http://www.dentist-doncaster.co.uk/,2 hours 13 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 19,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Kimberworth Park Dental Practice, 248 Kimberworth Park Road, Rotherham, S61 3JN",,,Area 3 South Yorkshire ,4.5,26,https://maps.google.com/?cid=1216613889593134338,http://www.kimberworthparkdental.co.uk/,3 hours 17 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 2,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Bramley Dental Practice, 93-95 Main Street, Bramley, Rotherham, S66 2SE",,,Area 3 South Yorkshire ,5,5,https://maps.google.com/?cid=5231248984408699463,http://www.bramleydental.co.uk/,3 hours 4 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 20,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Laughton Road Dental Care, 62 Laughton Road, Dinnington, Sheffield, S25 2PS",,,"Area 3 South Yorkshire ,Sheffield ",3.9,21,https://maps.google.com/?cid=16989954118612170638,https://www.mydentist.co.uk/dentists/practices/england/yorkshire-and-the-humber/sheffield/62-laughton-road?utm_source=google&utm_medium=local&utm_content=749&utm_campaign=my-business,2 hours 58 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 21,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"LWT Dental Care, 719, Ecclesall Road, Ecclesall, Sheffield, S11 8TG",,,"Area 3 South Yorkshire ,Sheffield ",4.1,18,https://maps.google.com/?cid=17791610049293799609,http://www.lwtdentalcare.co.uk/,2 hours 48 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 22,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Montgomery Dental Care, 83 Infirmary Road, Sheffield, Sheffield, S6 3BZ",,,"Area 3 South Yorkshire ,Sheffield ",4.2,14,https://maps.google.com/?cid=16803621275435899778,http://www.montgomerydentalcare.co.uk/,2 hours 43 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 23,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"My Dentist Effingham Square, 3 Effingham Square, Town Centre, Rotherham, S65 1AP",,,Area 3 South Yorkshire ,4.1,15,https://maps.google.com/?cid=4428348507930486333,https://www.mydentist.co.uk/dentists/practices/england/yorkshire-and-the-humber/rotherham/3-effingham-square?utm_source=google&utm_medium=local&utm_content=554&utm_campaign=my-business,2 hours 40 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 24,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Prime Dental Care, 234a, Rotherham Road, Maltby, Rotherham, S66 8ND",,,Area 3 South Yorkshire ,4.6,26,https://maps.google.com/?cid=17209323749620874079,https://prime.dentalpartners.co.uk/,2 hours 46 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 25,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Richmond Dental Care, 427-429 Richmond Road, Handsworth, Sheffield, S13 8LU",,,"Area 3 South Yorkshire ,Sheffield ",4.3,7,https://maps.google.com/?cid=11881469186579660556,http://www.richmonddentalcare.org/,3 hours 2 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 26,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Royd House, 5 Highfields, , Doncaster Road, Rotherham, S65 1DY",,,Area 3 South Yorkshire ,3.6,14,https://maps.google.com/?cid=15808458932688188335,,2 hours 45 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 27,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Sandygate Dental Practice, 17A Sandygate Road, Sheffield, S10 5NG",,,"Area 3 South Yorkshire ,Sheffield ",4.8,253,https://maps.google.com/?cid=11065670300332142828,http://www.sandygatedental.co.uk/,2 hours 54 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 28,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Skellow Dental Practice, 205 Skellow Road, Skellow, Doncaster, DN6 8HP",,,Area 3 South Yorkshire ,4.5,13,https://maps.google.com/?cid=9434749291915069042,http://www.doncasterdentalimplants.co.uk/,2 hours 48 mins
X,Yorkshire and the Humber - South Yorkshire - DFT - Sep - 29,01/09/2021 00:00,12,DFT,Health Education England Yorkshire and the Humber,Health Education England Yorkshire and the Humber - South Yorkshire,-,,0,"Southey Hill Dental Practice, 30 Southey Hill, Sheffield, Sheffield, S5 8BE",,,"Area 3 South Yorkshire ,Sheffield ",3,20,https://maps.google.com/?cid=10870786674612697647,https://www.bupa.co.uk/dental/dental-care/practices/southey-green?y_source=1_MTE2NzAxNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,3 hours 2 mins
