Current Assigned Rank,Preference,Start Date,Duration,Grade,Region,Sub-Region,Area(Sector),Dual Training Programme,Places Available,Description,Programme Name,Programme Number,Tags,rating,user_ratings_total,url,website,transit_time_london
X,London - DFT - Sep - 130,01/09/2021 00:00,12,Dental Foundation Training,Health Education England London,-,-,,0,"Aries Dental, 172 long elms, Harrow Weald, HA3 5JZ & 21 Silicon Centre, 26-28 Wadsworth Road, Perivale, UB6 7JZ. this post is across 2 sites/practices.",,,2 sites,"4.8,4","33,17","https://maps.google.com/?cid=13675924536638579709,https://maps.google.com/?cid=4497924979481834959","http://www.ariesdental.co.uk/,http://silicondental.co.uk/","1 hour 4 mins,45 mins"
X,North East - Newcastle - DFT - Sep - 9,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,Newcastle,,0,"Lucy Maine, Angel Dental Care, 6 Frenton Close, Chapel House, Newcastle, NE5 1EH",,,Newcastle,4.9,7,https://maps.google.com/?cid=2854670863194527099,http://www.angeldentalcare.co.uk/,8 hours 33 mins
X,North East - North Cumbria - DFT - Sep - 28,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,North Cumbria,,0,"The Dental Surgery, Wigton, Cumbria CA7 0AP",,,Cumbria,5,5,https://maps.google.com/?cid=3054351201913469054,http://wigtondentalsurgery.co.uk/,10 hours 6 mins
X,North East - North Cumbria - DFT - Sep - 34,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,North Cumbria,,0,"Eden Dental Practice, Carlisle, Cumbria CA1 1EA",,,Cumbria,5,10,https://maps.google.com/?cid=18110830328316733360,,9 hours 25 mins
X,North East - Northumbria - DFT - Sep - 13,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,Northumbria,,0,"Bridge Street Dental Practice, Morpeth, Northumberland NE61 1NB",,,Morpeth,3.6,22,https://maps.google.com/?cid=16064530890734794835,http://www.morpethdental.co.uk/,8 hours 52 mins
X,North East - Northumbria - DFT - Sep - 14,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,Northumbria,,0,"Rivenhall Dental Practice, Cramlington, Northumberland NE23 6RA",,,Northumberland,3.3,45,https://maps.google.com/?cid=14139723789082791838,http://www.rivenhalldentalpractice.co.uk/,9 hours 3 mins
X,North East - Northumbria - DFT - Sep - 15,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North East,-,Northumbria,,0,"Horizon Dental Clinic, Blyth, Northumberland NE24 2DS",,,Northumberland,3.7,12,https://maps.google.com/?cid=8821119496975299075,https://www.horizondentalclinic.co.uk/about-us,9 hours 18 mins
X,North West - Lancashire - DFT - Sep - 94,01/09/2021 00:00,12,Dental Foundation Training,Health Education England North West,"Health Education England North West - Greater Manchester, Lancashire and South Cumbria",Lancashire,,0,N/A - POST,,,Health Education England - South Cumbria & Lancashire, , , ,,8 hours 22 mins
X,Wales - DFT - Sep - 15,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Dr Owain Joynson - 2 Porthkerry Road, Barry, CF62 7AX",,,Cardiff & Barry Scheme,4.7,10,https://maps.google.com/?cid=2478648310028659095,https://www.valedentalcentres.co.uk/,3 hours 8 mins
X,Wales - DFT - Sep - 16,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Dr Catrin Parry Jones - 62 Celyn Avenue, Lakeside, Cardiff, CF23 6EP",,,Cardiff & Barry Scheme,4.5,13,https://maps.google.com/?cid=9828663121940363780,http://lakesidedental.co.uk/,7 hours 49 mins
X,Wales - DFT - Sep - 17,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Dr Timothy Phillips - 6 Fairwater Green, Fairwater, Cardiff CF5 3BA, www.fairwatergreendentalpractice.co.uk",,,Cardiff & Barry Scheme,4.4,14,https://maps.google.com/?cid=16658967532433242033,http://www.fairwatergreendentalpractice.co.uk/,8 hours 21 mins
X,Wales - DFT - Sep - 18,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Mr Simon Ralphs - 157 Holton Road, Barry, Vale of Glamorgan, CF63 4HP",,,Cardiff & Barry Scheme,5,8,https://maps.google.com/?cid=2280442025270991563,https://www.valedentalcentres.co.uk/holton-dental-centre,2 hours 47 mins
X,Wales - DFT - Sep - 19,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Mr Ioan Rees & Mr Tristan Roberts - Hywel Samuel & Associates, 28 St Mary Street, Cardiff, CF10 1AB",,,Cardiff & Barry Scheme,4.3,26,https://maps.google.com/?cid=10197418584897461900,http://www.hywelsamuel.co.uk/,7 hours 28 mins
X,Wales - DFT - Sep - 2,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Dr John Barclay - High Street Ruabon, Wrexham, LL14 6NH",,,North Wales Scheme,4.8,26,https://maps.google.com/?cid=6805915424267913889,https://www.mydentist.co.uk/dentists/practices/wales/north-east-wales/wrexham/high-street?utm_source=google&utm_medium=local&utm_content=784&utm_campaign=my-business,8 hours 11 mins
X,Wales - DFT - Sep - 20,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Mr Emyr Roberts : 4 Rachel Close, Danescourt, Cardiff. CF5 2SH, https://www.thecourtyarddental.com",,,Cardiff & Barry Scheme,3.5,16,https://maps.google.com/?cid=16913339654971220544,http://www.thecourtyarddental.com/,8 hours 27 mins
X,Wales - DFT - Sep - 21,01/09/2021 00:00,12,Dental Foundation Training,Wales,-,-,,0,"Mr Ashish Shah - Hood Rd, Barry CF62 5QN",,,Cardiff & Barry Scheme,4.6,12,https://maps.google.com/?cid=15772292408473872116,http://www.westquaydental.co.uk/,8 hours 42 mins
X,West Midlands - Birmingham - DFT - Sep - 1,01/09/2021 00:00,12,Dental Foundation Training,Health Education England West Midlands,-,Birmingham,,0,"Karen Alison Thornley, Harpreet Chowlia:  Walmley Dental Practice: Sutton Coldfield, West Midlands. https://heeoe.hee.nhs.uk/node/8222",,,,5,5,https://maps.google.com/?cid=2856504449227650668,http://www.walmleydental.co.uk/,7 hours 30 mins
